id,title,description,availability,condition,price,link,image_link,brand,item_group_id,size
coreprimer-5kg,CorePrimer 5 กก.,"CorePrimer รองพื้นซึมลึกสำหรับสระว่ายน้ำคอนกรีต ส่วนผสมเดียว — ซึมลงเนื้อปูน ล็อกผิวร่วนเป็นฐานแน่น เชื่อมปูนกับสีกันซึม PoolArmour เป็นระบบเดียว รอ 10 นาทีแล้วทาสีทับได้ทันที จบสระในวันเดียว สำหรับสระใช้งานหนักและงานที่พลาดไม่ได้ 1 กก. 690 บาท / 5 กก. 2,690 บาท",in stock,new,2690.00 THB,https://www.lucernapro.com/coreprimer,https://www.lucernapro.com/img/feed/coreprimer.jpg,LucernaPro,coreprimer,5 กก.
creterevive-1kg,CreteRevive 1 กก.,CreteRevive ชุดซ่อมรอยร้าวพื้นคอนกรีตแบบเทลงร่อง น้ำยา + ผง ชั่งมาให้พอดีในกล่อง ไม่ต้องตวง เนื้อไหลลงเต็มร่องเอง ยืดหยุ่นได้จึงไม่แตกซ้ำง่าย เหมาะกับรอยร้าวเป็นเส้นกว้าง 1 ซม. ขึ้นไป บนพื้นที่ไม่ทาสีทับ ใช้กลางแจ้งได้ ทนน้ำขัง ขนาด 1 กก. 390 บาท พร้อมบอกตรงๆ ว่างานหลุมบ่อห้ามใช้ตัวนี้,in stock,new,390.00 THB,https://www.lucernapro.com/creterevive,https://www.lucernapro.com/img/feed/creterevive.jpg,LucernaPro,creterevive,1 กก.
crystalseal-1kg,กันซึมใส Crystal Seal 1 kg,กันซึมใส Crystal Seal รุ่นประหยัด — เคลือบใสทับกระเบื้องเดิม ทนแดด ใช้ได้ทั้งภายนอกและภายใน เม็ดกันลื่นในตัว ยืดหยุ่นสูงด้วยเทคโนโลยี ClearFlex Polymer เริ่มต้น 710 บาท ปรึกษาฟรีทางแชทเพจ,in stock,new,710.00 THB,https://www.lucernapro.com/crystalseal,https://www.lucernapro.com/img/feed/crystalseal.jpg,LucernaPro,crystalseal,1 kg
crystalseal-2p5kg,กันซึมใส Crystal Seal 2.5 kg,กันซึมใส Crystal Seal รุ่นประหยัด — เคลือบใสทับกระเบื้องเดิม ทนแดด ใช้ได้ทั้งภายนอกและภายใน เม็ดกันลื่นในตัว ยืดหยุ่นสูงด้วยเทคโนโลยี ClearFlex Polymer เริ่มต้น 710 บาท ปรึกษาฟรีทางแชทเพจ,in stock,new,1670.00 THB,https://www.lucernapro.com/crystalseal,https://www.lucernapro.com/img/feed/crystalseal.jpg,LucernaPro,crystalseal,2.5 kg
crystalseal-5kg,กันซึมใส Crystal Seal 5 kg,กันซึมใส Crystal Seal รุ่นประหยัด — เคลือบใสทับกระเบื้องเดิม ทนแดด ใช้ได้ทั้งภายนอกและภายใน เม็ดกันลื่นในตัว ยืดหยุ่นสูงด้วยเทคโนโลยี ClearFlex Polymer เริ่มต้น 710 บาท ปรึกษาฟรีทางแชทเพจ,in stock,new,2870.00 THB,https://www.lucernapro.com/crystalseal,https://www.lucernapro.com/img/feed/crystalseal.jpg,LucernaPro,crystalseal,5 kg
deepseal-0p5kg,DeepSeal กันซึม Negative Side 0.5 kg,DeepSeal — กันซึม Negative Side ซ่อมน้ำซึมจากด้านในสำหรับจุดที่ออกไปแก้ข้างนอกไม่ได้ ผนังร่วมทาวน์โฮม คอนโด ห้องใต้ดิน ส่วนผสมเดียวเปิดฝาทาได้ทันที กลิ่นน้อย Low VOC ทาสีทับได้ เริ่มต้น 390 บาท ปรึกษาฟรีทางแชทเพจ,in stock,new,390.00 THB,https://www.lucernapro.com/deepseal,https://www.lucernapro.com/img/feed/deepseal.jpg,LucernaPro,deepseal,0.5 kg
deepseal-1kg,DeepSeal กันซึม Negative Side 1 kg,DeepSeal — กันซึม Negative Side ซ่อมน้ำซึมจากด้านในสำหรับจุดที่ออกไปแก้ข้างนอกไม่ได้ ผนังร่วมทาวน์โฮม คอนโด ห้องใต้ดิน ส่วนผสมเดียวเปิดฝาทาได้ทันที กลิ่นน้อย Low VOC ทาสีทับได้ เริ่มต้น 390 บาท ปรึกษาฟรีทางแชทเพจ,in stock,new,590.00 THB,https://www.lucernapro.com/deepseal,https://www.lucernapro.com/img/feed/deepseal.jpg,LucernaPro,deepseal,1 kg
deepseal-5kg,DeepSeal กันซึม Negative Side 5 kg,DeepSeal — กันซึม Negative Side ซ่อมน้ำซึมจากด้านในสำหรับจุดที่ออกไปแก้ข้างนอกไม่ได้ ผนังร่วมทาวน์โฮม คอนโด ห้องใต้ดิน ส่วนผสมเดียวเปิดฝาทาได้ทันที กลิ่นน้อย Low VOC ทาสีทับได้ เริ่มต้น 390 บาท ปรึกษาฟรีทางแชทเพจ,in stock,new,2690.00 THB,https://www.lucernapro.com/deepseal,https://www.lucernapro.com/img/feed/deepseal.jpg,LucernaPro,deepseal,5 kg
deepstick-350g,DeepStick ตัวโป๊วรอยต่อ Heavy Duty 350 g,DeepStick — วัสดุโป๊วรอยต่อและรอยร้าวระดับ Heavy Duty เทคโนโลยี HydroCure Polymer ยึดเกาะได้แม้ผิวลื่น พลาสติก กระเบื้องเคลือบ ใช้งานใต้น้ำได้ ขยายตัวไม่หดตัว ขัดแต่งทำสีได้ ขนาด 350g / 2.5kg / 5kg เริ่มต้น 230 บาท,in stock,new,230.00 THB,https://www.lucernapro.com/deepstick,https://www.lucernapro.com/img/feed/deepstick.jpg,LucernaPro,deepstick,350 g
deepstick-2p5kg,DeepStick ตัวโป๊วรอยต่อ Heavy Duty 2.5 kg,DeepStick — วัสดุโป๊วรอยต่อและรอยร้าวระดับ Heavy Duty เทคโนโลยี HydroCure Polymer ยึดเกาะได้แม้ผิวลื่น พลาสติก กระเบื้องเคลือบ ใช้งานใต้น้ำได้ ขยายตัวไม่หดตัว ขัดแต่งทำสีได้ ขนาด 350g / 2.5kg / 5kg เริ่มต้น 230 บาท,in stock,new,660.00 THB,https://www.lucernapro.com/deepstick,https://www.lucernapro.com/img/feed/deepstick.jpg,LucernaPro,deepstick,2.5 kg
deepstick-5kg,DeepStick ตัวโป๊วรอยต่อ Heavy Duty 5 kg,DeepStick — วัสดุโป๊วรอยต่อและรอยร้าวระดับ Heavy Duty เทคโนโลยี HydroCure Polymer ยึดเกาะได้แม้ผิวลื่น พลาสติก กระเบื้องเคลือบ ใช้งานใต้น้ำได้ ขยายตัวไม่หดตัว ขัดแต่งทำสีได้ ขนาด 350g / 2.5kg / 5kg เริ่มต้น 230 บาท,in stock,new,1020.00 THB,https://www.lucernapro.com/deepstick,https://www.lucernapro.com/img/feed/deepstick.jpg,LucernaPro,deepstick,5 kg
denimblack-150ml,DenimBlack สเปรย์คืนสภาพผ้าสีดำ 150 ml,DenimBlack — สเปรย์ฟื้นฟูผ้าสีดำที่ซีดจางให้กลับมาเข้มเหมือนใหม่ แค่ฉีดแล้วทิ้งให้แห้ง ไม่ต้องซัก ไม่ต้องแช่ ใช้ได้ทั้งยีนส์ ผ้าฝ้าย แคนวาส แจ็กเก็ต หมวก กระเป๋า ขนาด 150ml ราคา 190 บาท,in stock,new,190.00 THB,https://www.lucernapro.com/denimblack,https://www.lucernapro.com/img/feed/denimblack.jpg,LucernaPro,denimblack,150 ml
drygard-4p5kg,DryGard สีทาบ้านกันซึม 4.5 กก.,DryGard คือสีทาบ้านที่กันซึมอยู่ในเนื้อสี ฟิล์มยืดหยุ่นทนความชื้น ไม่ลอกไม่พองเหมือนสีทั่วไป กันเชื้อรา มีสารสะท้อนความร้อนในเนื้อ เปิดฝาทาได้เลยไม่ต้องผสม ไม่ต้องรองพื้น ทาทับสีเดิมได้ 1 กก. ทาได้ราว 5 ตร.ม. ครบ 2 รอบ มี 10 เฉดให้เลือก,in stock,new,1730.00 THB,https://www.lucernapro.com/drygard,https://www.lucernapro.com/img/feed/drygard.jpg,LucernaPro,drygard,4.5 กก.
drygard-18kg,DryGard สีทาบ้านกันซึม 18 กก.,DryGard คือสีทาบ้านที่กันซึมอยู่ในเนื้อสี ฟิล์มยืดหยุ่นทนความชื้น ไม่ลอกไม่พองเหมือนสีทั่วไป กันเชื้อรา มีสารสะท้อนความร้อนในเนื้อ เปิดฝาทาได้เลยไม่ต้องผสม ไม่ต้องรองพื้น ทาทับสีเดิมได้ 1 กก. ทาได้ราว 5 ตร.ม. ครบ 2 รอบ มี 10 เฉดให้เลือก,in stock,new,5390.00 THB,https://www.lucernapro.com/drygard,https://www.lucernapro.com/img/feed/drygard.jpg,LucernaPro,drygard,18 กก.
easyclean-100g,Easy Clean 100 g,EasyClean น้ำยาเคลือบกันคราบสาย Hydrophobic ฟิล์มใสแข็ง 4H มุมสัมผัสน้ำ ≥110° น้ำและคราบน้ำมันเกาะยาก เช็ดออกง่าย กันสีสเปรย์ ทนกรดด่าง ยับยั้งแบคทีเรีย สำหรับผนังสีน้ำ สีไม้ สีอบ และโลหะ ทั้งในและนอกอาคาร วัตถุดิบนำเข้าจาก Feibo ปรึกษาฟรีทางแชทเพจ,in stock,new,830.00 THB,https://www.lucernapro.com/easyclean,https://www.lucernapro.com/img/feed/easyclean.jpg,LucernaPro,easyclean,100 g
easyclean-500g,Easy Clean 500 g,EasyClean น้ำยาเคลือบกันคราบสาย Hydrophobic ฟิล์มใสแข็ง 4H มุมสัมผัสน้ำ ≥110° น้ำและคราบน้ำมันเกาะยาก เช็ดออกง่าย กันสีสเปรย์ ทนกรดด่าง ยับยั้งแบคทีเรีย สำหรับผนังสีน้ำ สีไม้ สีอบ และโลหะ ทั้งในและนอกอาคาร วัตถุดิบนำเข้าจาก Feibo ปรึกษาฟรีทางแชทเพจ,in stock,new,3590.00 THB,https://www.lucernapro.com/easyclean,https://www.lucernapro.com/img/feed/easyclean.jpg,LucernaPro,easyclean,500 g
easyclean-1kg,Easy Clean 1 kg,EasyClean น้ำยาเคลือบกันคราบสาย Hydrophobic ฟิล์มใสแข็ง 4H มุมสัมผัสน้ำ ≥110° น้ำและคราบน้ำมันเกาะยาก เช็ดออกง่าย กันสีสเปรย์ ทนกรดด่าง ยับยั้งแบคทีเรีย สำหรับผนังสีน้ำ สีไม้ สีอบ และโลหะ ทั้งในและนอกอาคาร วัตถุดิบนำเข้าจาก Feibo ปรึกษาฟรีทางแชทเพจ,in stock,new,6600.00 THB,https://www.lucernapro.com/easyclean,https://www.lucernapro.com/img/feed/easyclean.jpg,LucernaPro,easyclean,1 kg
ecobind-1kg,EcoBind น้ำยาล็อคหิน 1 กก.,EcoBind น้ำยาล็อคหินสูตรน้ำ ผสมน้ำแล้วเทหรือพ่นทับกรวด-หินโรยทางเดิน หินแน่นอยู่กับที่ ทนน้ำ ฉีดล้างได้ ไม่ต้องมีเครื่องมือช่าง เราขายเฉพาะน้ำยา หินหาเองได้เลย ราคาสอบถามทางแชทเพจ,in stock,new,420.00 THB,https://www.lucernapro.com/ecobind,https://www.lucernapro.com/img/feed/ecobind.jpg,LucernaPro,ecobind,1 กก.
ecobind-5kg,EcoBind น้ำยาล็อคหิน 5 กก.,EcoBind น้ำยาล็อคหินสูตรน้ำ ผสมน้ำแล้วเทหรือพ่นทับกรวด-หินโรยทางเดิน หินแน่นอยู่กับที่ ทนน้ำ ฉีดล้างได้ ไม่ต้องมีเครื่องมือช่าง เราขายเฉพาะน้ำยา หินหาเองได้เลย ราคาสอบถามทางแชทเพจ,in stock,new,1740.00 THB,https://www.lucernapro.com/ecobind,https://www.lucernapro.com/img/feed/ecobind.jpg,LucernaPro,ecobind,5 กก.
ecobind-18kg,EcoBind น้ำยาล็อคหิน 18 กก.,EcoBind น้ำยาล็อคหินสูตรน้ำ ผสมน้ำแล้วเทหรือพ่นทับกรวด-หินโรยทางเดิน หินแน่นอยู่กับที่ ทนน้ำ ฉีดล้างได้ ไม่ต้องมีเครื่องมือช่าง เราขายเฉพาะน้ำยา หินหาเองได้เลย ราคาสอบถามทางแชทเพจ,in stock,new,3470.00 THB,https://www.lucernapro.com/ecobind,https://www.lucernapro.com/img/feed/ecobind.jpg,LucernaPro,ecobind,18 กก.
epoxycoating-epoxy-2k,สีทาพื้น Epoxy / PU Epoxy 2K,สีทาพื้น Epoxy และ PU ระบบ 2K สองส่วนผสม ผลิตเองคุมสูตรเอง สำหรับพื้นโรงงาน โรงรถ อู่ คลังสินค้า ทนแรงกด ทนการเสียดสี ทนสารเคมี ล้างง่าย ชุด 16 กก. ทาได้ประมาณ 50 ตร.ม. ครบ 2 รอบ สั่งผลิตได้ทุกสีตามชาร์จ RAL พร้อมอธิบายตรงๆ ว่าแบบทากับแบบ Self-leveling ต่างกันอย่างไร,in stock,new,5340.00 THB,https://www.lucernapro.com/epoxycoating,https://www.lucernapro.com/img/feed/epoxycoating.jpg,LucernaPro,epoxycoating,Epoxy 2K
epoxycoating-pu-2k,สีทาพื้น Epoxy / PU PU 2K,สีทาพื้น Epoxy และ PU ระบบ 2K สองส่วนผสม ผลิตเองคุมสูตรเอง สำหรับพื้นโรงงาน โรงรถ อู่ คลังสินค้า ทนแรงกด ทนการเสียดสี ทนสารเคมี ล้างง่าย ชุด 16 กก. ทาได้ประมาณ 50 ตร.ม. ครบ 2 รอบ สั่งผลิตได้ทุกสีตามชาร์จ RAL พร้อมอธิบายตรงๆ ว่าแบบทากับแบบ Self-leveling ต่างกันอย่างไร,in stock,new,2600.00 THB,https://www.lucernapro.com/epoxycoating,https://www.lucernapro.com/img/feed/epoxycoating.jpg,LucernaPro,epoxycoating,PU 2K
epoxycoating-pu-2k-2,สีทาพื้น Epoxy / PU PU 2K,สีทาพื้น Epoxy และ PU ระบบ 2K สองส่วนผสม ผลิตเองคุมสูตรเอง สำหรับพื้นโรงงาน โรงรถ อู่ คลังสินค้า ทนแรงกด ทนการเสียดสี ทนสารเคมี ล้างง่าย ชุด 16 กก. ทาได้ประมาณ 50 ตร.ม. ครบ 2 รอบ สั่งผลิตได้ทุกสีตามชาร์จ RAL พร้อมอธิบายตรงๆ ว่าแบบทากับแบบ Self-leveling ต่างกันอย่างไร,in stock,new,7200.00 THB,https://www.lucernapro.com/epoxycoating,https://www.lucernapro.com/img/feed/epoxycoating.jpg,LucernaPro,epoxycoating,PU 2K
epoxygrout-1kg,ยาแนวกันซึม Epoxy TileGrout 1 kg,ยาแนว Epoxy TileGrout แบบผสมเอง อัตราส่วน 1:1 กันซึมร่องกระเบื้องยาวนาน 5 ปี เชื้อรา-คราบเกาะยาก ไม่ต้องรื้อกระเบื้องใหม่ 1kg 470 บาททาได้ ~10 ตร.ม. มีสีขาว เทาอ่อน เทาเข้ม รอ 4–6 ชม. ใช้งานได้,in stock,new,470.00 THB,https://www.lucernapro.com/epoxygrout,https://www.lucernapro.com/img/feed/epoxygrout.jpg,LucernaPro,epoxygrout,1 kg
epoxygrout-2kg,ยาแนวกันซึม Epoxy TileGrout 2 kg,ยาแนว Epoxy TileGrout แบบผสมเอง อัตราส่วน 1:1 กันซึมร่องกระเบื้องยาวนาน 5 ปี เชื้อรา-คราบเกาะยาก ไม่ต้องรื้อกระเบื้องใหม่ 1kg 470 บาททาได้ ~10 ตร.ม. มีสีขาว เทาอ่อน เทาเข้ม รอ 4–6 ชม. ใช้งานได้,in stock,new,830.00 THB,https://www.lucernapro.com/epoxygrout,https://www.lucernapro.com/img/feed/epoxygrout.jpg,LucernaPro,epoxygrout,2 kg
epoxyputty-1kg,EpoxyPutty กาวโป๊วมหาอุด ชุด 1 kg (A + B),EpoxyPutty กาวโป๊วสองส่วนผสม A:B = 1:1 นวดด้วยมือแล้วปั้นอุดได้เลย — ซ่อมไม้ผุ อุดท่อรั่ว โป๊วโลหะ ปั้นคืนรูปชิ้นงาน แข็งตัวเป็นหิน เจาะ ขัด ทาสีทับได้,in stock,new,230.00 THB,https://www.lucernapro.com/epoxyputty,https://www.lucernapro.com/img/feed/epoxyputty.jpg,LucernaPro,epoxyputty,ชุด 1 kg (A + B)
exotic-1p2kg,กันซึม Exotic 1.2 kg / ชุด,"กันซึม Exotic — Polyurea ชนิดส่วนผสมเดียว (One Component) เปิดฝากวนแล้วทาได้ทันที ไม่มีจังหวะผสมพลาด เนื้อหนืดหนาทาง่ายไม่ไหลย้อย รอยต่อร่องลึกโป๊วให้เต็มก่อนแล้วทาทับ ไม่ต้องทาหนาเกินจำเป็น ทนน้ำขังได้เป็นปี อายุงาน 10 ปี ชุด 1.2 kg ทาได้ 6 ตร.ม. ราคา 2,030 บาท",in stock,new,2030.00 THB,https://www.lucernapro.com/exotic,https://www.lucernapro.com/img/feed/exotic.jpg,LucernaPro,exotic,1.2 kg / ชุด
fillerace-1kg,FillerAce โป๊วรอยแตกร้าว 1 kg,FillerAce — โป๊วซ่อมรอยแตกร้าวและรอยต่อสำหรับงานภายนอกโดยเฉพาะ ทนแดดทนฝน แช่น้ำได้เป็นปี ยืดหยุ่นแต่ขัดแต่งทำสีได้ พร้อมใช้ไม่ต้องผสม แห้งพร้อมขัดใน 2 ชม. เริ่มต้น 470 บาท ปรึกษาฟรีทางแชทเพจ,in stock,new,470.00 THB,https://www.lucernapro.com/fillerace,https://www.lucernapro.com/img/feed/fillerace.jpg,LucernaPro,fillerace,1 kg
fillerace-20kg,FillerAce โป๊วรอยแตกร้าว 20 kg,FillerAce — โป๊วซ่อมรอยแตกร้าวและรอยต่อสำหรับงานภายนอกโดยเฉพาะ ทนแดดทนฝน แช่น้ำได้เป็นปี ยืดหยุ่นแต่ขัดแต่งทำสีได้ พร้อมใช้ไม่ต้องผสม แห้งพร้อมขัดใน 2 ชม. เริ่มต้น 470 บาท ปรึกษาฟรีทางแชทเพจ,in stock,new,5880.00 THB,https://www.lucernapro.com/fillerace,https://www.lucernapro.com/img/feed/fillerace.jpg,LucernaPro,fillerace,20 kg
flakeset-marine-guard,พื้นกันลื่นพร้อมกันซึมในตัว FlakeFloor เซทราคาประหยัดพร้อมชุดอุปกรณ์ Marine Guard,"พื้นกันลื่นพร้อมกันซึมในตัว FlakeFloor เซทราคาประหยัดพร้อมชุดอุปกรณ์ — Marine Guard 1kg + CrystalSeal 1kg + ผง Flake 1kg + ชุดอุปกรณ์ ทำเองได้ 5 ตร.ม. ราคาพิเศษ 2,580 บาท ทำทับกระเบื้องห้องน้ำเดิมได้ ไม่ต้องรื้อ",in stock,new,1.00 THB,https://www.lucernapro.com/flakeset,https://www.lucernapro.com/img/feed/flakeset.jpg,LucernaPro,flakeset,Marine Guard
flakeset-flake,พื้นกันลื่นพร้อมกันซึมในตัว FlakeFloor เซทราคาประหยัดพร้อมชุดอุปกรณ์ ผง Flake,"พื้นกันลื่นพร้อมกันซึมในตัว FlakeFloor เซทราคาประหยัดพร้อมชุดอุปกรณ์ — Marine Guard 1kg + CrystalSeal 1kg + ผง Flake 1kg + ชุดอุปกรณ์ ทำเองได้ 5 ตร.ม. ราคาพิเศษ 2,580 บาท ทำทับกระเบื้องห้องน้ำเดิมได้ ไม่ต้องรื้อ",in stock,new,1.00 THB,https://www.lucernapro.com/flakeset,https://www.lucernapro.com/img/feed/flakeset.jpg,LucernaPro,flakeset,ผง Flake
